"id_dep","nome","uf","partido","clust"
178827,"Max Filho","ES","psdb","4"
74428,"Mendonça Filho","PE","dem","4"
178984,"Miguel Haddad","SP","psdb","4"
160561,"Missionário José Olimpio","SP","pp","4"
74457,"Moroni Torgan","CE","dem","4"
178997,"Moses Rodrigues","CE","pps","4"
160567,"Nelson Marchezan Junior","RS","psdb","4"
166401,"Nilson Leitão","MT","psdb","4"
74352,"Nilson Pinto","PA","psdb","4"
74752,"Odelmo Leão","MG","pp","4"
74399,"Onyx Lorenzoni","RS","dem","4"
180545,"Osmar Bertoldi","PR","dem","4"
141515,"Otavio Leite","RJ","psdb","4"
160642,"Pastor Eurico","PE","psb","4"
74095,"Pauderney Avelino","AM","dem","4"
141516,"Paulo Abi-Ackel","MG","psdb","4"
178860,"Paulo Azi","BA","dem","4"
160517,"Paulo Foletto","ES","psb","4"
141518,"Paulo Pereira da Silva","SP","solidaried","4"
178912,"Pedro Cunha Lima","PB","psdb","4"
178844,"Pedro Vilela","AL","psdb","4"
80920,"Penna","SP","pv","4"
160601,"Pr. Marco Feliciano","SP","psc","4"
160639,"Professora Dorinha Seabra Rezende","TO","dem","4"
148134,"Professor Victório Galli","MT","psc","4"
74216,"Raimundo Gomes de Matos","CE","psdb","4"
178998,"Raquel Muniz","MG","psc","4"
74048,"Raul Jungmann","PE","pps","4"
160654,"Renzo Braz","MG","pp","4"
141472,"Ricardo Tripoli","SP","psdb","4"
73674,"Roberto Balestra","GO","pp","4"
73805,"Roberto Freire","SP","pps","4"
178840,"Rocha","AC","psdb","4"
141531,"Rodrigo de Castro","MG","psdb","4"
74693,"Rodrigo Maia","RJ","dem","4"
178926,"Rodrigo Martins","PI","psb","4"
141535,"Rogério Marinho","RN","psdb","4"
178935,"Rossoni","PR","psdb","4"
73466,"Rubens Bueno","PR","pps","4"
178990,"Samuel Moreira","SP","psdb","4"
160621,"Sandro Alex","PR","pps","4"
141542,"Sérgio Moraes","RS","ptb","4"
178961,"Shéridan","RR","psdb","4"
73560,"Silvio Torres","SP","psdb","4"
178947,"Sóstenes Cavalcante","RJ","psd","4"
92776,"Stefano Aguiar","MG","psb","4"
178922,"Tadeu Alencar","PE","psb","4"
178898,"Tenente Lúcio","MG","psb","4"
178901,"Tereza Cristina","MS","psb","4"
141384,"Valadares Filho","SE","psb","4"
74010,"Valdir Colatto","SC","pmdb","4"
141553,"Vanderlei Macris","SP","psdb","4"
178992,"Vitor Lippi","SP","psdb","4"
178869,"Vitor Valim","CE","pmdb","4"
160518,"Weliton Prado","MG","pmb","4"
141563,"William Woo","SP","pv","4"
160632,"Zé Silva","MG","solidaried","4"
