"","nome","partido","uf","dim1","dim2"
"305","Leônidas Cristino","pros","CE",-0.385251737870576,-0.0542198471901296
"306","Leopoldo Meyer","psb","PR",0.259701135237415,0.25065451287436
"307","Lincoln Portela","pr","MG",-0.200041910607096,-0.0883356915125543
"308","Lindomar Garçon","pmdb","RO",-0.210556391993289,-0.331531287100586
"309","Lobbe Neto","psdb","SP",0.687473571806464,0.140347249782477
"310","Lucas Vergilio","solidaried","GO",0.6554834989792,0.0302659243374449
"311","Luciana Santos","pcdob","PE",-0.53384763455855,0.435913799603701
"312","Luciano Ducci","psb","PR",0.332653198173483,0.162608728746836
"313","Lucio Mosquini","pmdb","RO",-0.213961764446737,-0.315639999466584
"314","Lúcio Vale","pr","PA",-0.351811567453134,-0.277402714937903
"315","Lucio Vieira Lima","pmdb","BA",0.0153557898672926,-0.297456536769842
"316","Luis Carlos Heinze","pp","RS",0.728162225745801,0.0609425123255217
"317","Luis Tibé","ptdob","MG",-0.221832339644415,-0.0949016621199824
"318","Luiza Erundina","psb","SP",-0.0257819323705117,0.554382872121853
"319","Luiz Carlos Busato","ptb","RS",-0.253574945999295,-0.181759611782446
"320","Luiz Carlos Hauly","psdb","PR",0.595144102261172,0.12886205880471
"321","Luiz Carlos Ramos","psdc","RJ",-0.148977761881598,-0.220373164663466
"322","Luiz Cláudio","pr","RO",-0.302339231304829,-0.323688317983812
"323","Luiz Couto","pt","PB",-0.728476872738334,0.47616707292493
"324","Luiz Fernando Faria","pp","MG",-0.0924373531164417,-0.325357379032807
"325","Luizianne Lins","pt","CE",-0.381743860219498,0.366635337100408
"326","Luiz Lauro Filho","psb","SP",0.159636466525701,-0.107980767445166
"327","Luiz Nishimori","s.part.","PR",-0.23532756342947,-0.342822662025162
"328","Luiz Sérgio","pt","RJ",-0.547190884293872,0.284069043419339
"329","Macedo","psl","CE",-0.305986647885529,-0.0923653131747384
"330","Magda Mofatto","pr","GO",-0.229547399817792,-0.262719994787818
"331","Mainha","solidaried","PI",-0.0923857244889812,-0.0457230903391187
"332","Major Olimpio","pdt","SP",0.0123182028212414,0.16671503563371
"333","Mandetta","dem","MS",0.65266299111005,0.145004183648962
"334","Manoel Junior","pmdb","PB",-0.078971458045113,-0.295705927001341
"335","Mara Gabrilli","psdb","SP",0.45911379884555,0.0355622497028018
"336","Marcelo Aguiar","s.part.","SP",0.423930662587595,-0.109822999393692
"337","Marcelo Álvaro Antônio","prp","MG",-0.123468187664178,-0.0958006039865428
"338","Marcelo Aro","phs","MG",-0.0553234610693107,-0.328726113511809
"339","Marcelo Belinati","pp","PR",0.514732742094156,0.485233595931059
"340","Marcelo Castro","pmdb","PI",-0.200111437238579,-0.0787104384075495
"341","Marcelo Matos","pdt","RJ",-0.207105939386032,0.05371339543459
"342","Marcelo Squassoni","prb","SP",-0.234688469828212,-0.211310352553528
"343","Marcio Alvino","pr","SP",-0.313296600816874,-0.366157491979445
"344","Márcio Marinho","prb","BA",-0.323391211004608,-0.190155351864664
"345","Marco Maia","pt","RS",-0.522016901430899,0.251686218030757
"346","Marcon","pt","RS",-0.614055789716071,0.378635061828402
"347","Marcos Abrão","pps","GO",0.608790665843227,0.368065587501195
"348","Marcos Montes","psd","MG",-0.0606328817633216,-0.351973624379237
"349","Marcos Reategui","psc","AP",0.0726975097469832,0.0534296714366889
"350","Marcos Rogério","pdt","RO",0.00251127252491582,0.0994530941059484
"351","Marcos Rotta","pmdb","AM",-0.130285550686201,-0.37251218328888
"352","Marcos Soares","pr","RJ",0.052336656244256,-0.0979474115563797
"353","Marco Tebaldi","psdb","SC",0.672067841359261,0.013364587065274
"354","Marcus Pestana","psdb","MG",0.719610102378286,0.0773107001879264
"355","Marcus Vicente","pp","ES",0.123037494263081,-0.187796046860533
"356","Margarida Salomão","pt","MG",-0.635710072907617,0.318058273967605
"357","Maria do Rosário","pt","RS",-0.549993305579734,0.346537408575718
"358","Maria Helena","psb","RR",0.115903914888166,0.202135446163892
"359","Mariana Carvalho","psdb","RO",0.65129304055489,0.0665223151891887
"360","Marinaldo Rosendo","psb","PE",0.238660300863642,0.0445733179183557
"361","Marinha Raupp","pmdb","RO",-0.102967435193675,-0.079733704229327
"362","Mário Heringer","pdt","MG",0.0406901984245246,0.00140563037819248
"363","Mário Negromonte Jr.","pp","BA",-0.241396607030247,-0.320020216838692
"364","Marquinho Mendes","pmdb","RJ",-0.22443944325116,-0.421153420665367
"365","Marx Beltrão","pmdb","AL",0.0632617472018999,-0.218450656242522
"366","Maurício Quintella Lessa","pr","AL",-0.215361776227921,-0.27842954912942
"367","Mauro Lopes","pmdb","MG",-0.120767520469799,-0.34556575227392
"368","Mauro Mariani","pmdb","SC",-0.124774223748047,-0.367939829516112
"369","Mauro Pereira","pmdb","RS",-0.0339450715639067,-0.282746407637415
"370","Max Filho","psdb","ES",0.684325225125197,0.305769196044469
"371","Mendonça Filho","dem","PE",0.641216525274398,0.030372644155772
"372","Merlong Solano","pt","PI",-0.178748881730481,0.0662988208727764
"373","Miguel Haddad","psdb","SP",0.783028394173337,0.0785467964907535
"374","Miguel Lombardi","pr","SP",-0.343786276857012,-0.358277391766422
"375","Milton Monti","pr","SP",-0.328680941571956,-0.328454629317741
"376","Miro Teixeira","pdt","RJ",0.000250640245200134,0.00559407556171649
"377","Miro Teixeira","pros","RJ",0.202665369212652,0.567329489355682
"378","Miro Teixeira","rede","RJ",0.103176347078483,0.0752077288412951
"379","Misael Varella","dem","MG",0.180785837985775,-0.182534095862794
"380","Missionário José Olimpio","pp","SP",0.459725017568743,-0.112086064713085
