Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Aureo,Solidaried,RJ,Sim            ,160512,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Leonardo Quintão,PMDB      ,MG,Sim            ,141482,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Lelo Coimbra,PMDB      ,ES,Sim            ,141562,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Celso Pansera,PMDB      ,RJ,Sim            ,72912,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Wladimir Costa,Solidaried,PA,Sim            ,73930,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,José Mentor,PT        ,SP,Sim            ,74275,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
