Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Flavinho,PSB       ,SP,Obstrução      ,178978,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,José Priante,PMDB      ,PA,Sim            ,74079,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Vicentinho,PT        ,SP,Obstrução      ,74283,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Aníbal Gomes,PMDB      ,CE,Sim            ,74212,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Leopoldo Meyer,PSB       ,PR,Obstrução      ,160663,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Jorge Boeira,PP        ,SC,Não            ,74388,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,José Airton Cirilo,PT        ,CE,Obstrução      ,141464,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Professora Marcivania,PT        ,AP,Obstrução      ,160641,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Zé Silva,Solidaried,MG,Obstrução      ,160632,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Leo de Brito,PT        ,AC,Obstrução      ,178825,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Victor Mendes,PV        ,MA,Sim            ,178888,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Sarney Filho,PV        ,MA,Sim            ,74210,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Herculano Passos,PSD       ,SP,Sim            ,178981,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Evandro Rogerio Roman,PSD       ,PR,Sim            ,178930,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Zé Geraldo,PT        ,PA,Obstrução      ,73931,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Milton Monti,PR        ,SP,Sim            ,74787,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Luiz Sérgio,PT        ,RJ,Obstrução      ,74688,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Luiz Carlos Ramos,PSDC      ,RJ,Sim            ,178802,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Marcos Reategui,PSC       ,AP,Sim            ,178852,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Izalci,PSDB      ,DF,Sim            ,4931,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Josi Nunes,PMDB      ,TO,Não            ,114941,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Eduardo Cury,PSDB      ,SP,Sim            ,178977,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Átila Lira,PSB       ,PI,Sim            ,74459,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Christiane de Souza Yared,PTN       ,PR,Sim            ,178928,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Eduardo Cunha,PMDB      ,RJ,Art. 17        ,74173,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Vander Loubet,PT        ,MS,Não            ,74376,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Evair de Melo,PV        ,ES,Sim            ,178871,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Pedro Cunha Lima,PSDB      ,PB,Sim            ,178912,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Geovania de Sá,PSDB      ,SC,Sim            ,178966,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Roberto Sales,PRB       ,RJ,Sim            ,178944,-,-
