Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Caetano,PT        ,BA,Sim            ,178853,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Arnaldo Faria de Sá,PTB       ,SP,Sim            ,73434,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Ronaldo Fonseca,PROS      ,DF,Sim            ,160637,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Cesar Souza,PSD       ,SC,Sim            ,73720,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Flavinho,PSB       ,SP,Sim            ,178978,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Vicentinho,PT        ,SP,Sim            ,74283,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Leopoldo Meyer,PSB       ,PR,Sim            ,160663,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Jorge Boeira,PP        ,SC,Sim            ,74388,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,José Airton Cirilo,PT        ,CE,Não            ,141464,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Professora Marcivania,PT        ,AP,Sim            ,160641,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Leo de Brito,PT        ,AC,Não            ,178825,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Sarney Filho,PV        ,MA,Sim            ,74210,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Geraldo Resende,PMDB      ,MS,Sim            ,74374,-,-
