Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Laercio Oliveira,Solidaried,SE,Sim            ,151208,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Rodrigo de Castro,PSDB      ,MG,Sim            ,141531,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Márcio Marinho,PRB       ,BA,Não            ,150418,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Cleber Verde,PRB       ,MA,Não            ,141408,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Paulo Foletto,PSB       ,ES,Sim            ,160517,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Nilton Capixaba,PTB       ,RO,Sim            ,74359,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Fabio Garcia,PSB       ,MT,Sim            ,178905,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,João Campos,PSDB      ,GO,Sim            ,74366,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Rogério Marinho,PSDB      ,RN,Sim            ,141535,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Rodrigo Maia,DEM       ,RJ,Sim            ,74693,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Aureo,Solidaried,RJ,Sim            ,160512,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Leonardo Quintão,PMDB      ,MG,Sim            ,141482,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Lelo Coimbra,PMDB      ,ES,Sim            ,141562,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Alice Portugal,PCdoB     ,BA,Não            ,74057,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Marcos Rogério,PDT       ,RO,Não            ,167722,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Celso Pansera,PMDB      ,RJ,Não            ,72912,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,José Mentor,PT        ,SP,Não            ,74275,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Jerônimo Goergen,PP        ,RS,Sim            ,160570,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Ricardo Izar,PSD       ,SP,Sim            ,160655,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Andres Sanchez,PT        ,SP,Não            ,178974,-,-
