Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Expedito Netto,Solidaried,RO,Sim            ,178953,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Paulo Feijó,PR        ,RJ,Sim            ,74017,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Fábio Ramalho,PV        ,MG,Obstrução      ,141427,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Rogério Rosso,PSD       ,DF,Sim            ,160426,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Otavio Leite,PSDB      ,RJ,Sim            ,141515,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,JHC,Solidaried,AL,Sim            ,178842,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Miguel Lombardi,PR        ,SP,Sim            ,178985,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Osmar Terra,PMDB      ,RS,Sim            ,73692,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Mário Negromonte Jr.,PP        ,BA,Sim            ,178858,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Giuseppe Vecci,PSDB      ,GO,Sim            ,178878,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Ságuas Moraes,PT        ,MT,Sim            ,160630,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Carlos Zarattini,PT        ,SP,Não            ,141398,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Sóstenes Cavalcante,PSD       ,RJ,Sim            ,178947,-,-
