Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Leopoldo Meyer,PSB       ,PR,Não            ,160663,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Jorge Boeira,PP        ,SC,Sim            ,74388,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,José Airton Cirilo,PT        ,CE,Não            ,141464,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Joaquim Passarinho,PSD       ,PA,Sim            ,178910,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Professora Marcivania,PT        ,AP,Não            ,160641,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Zé Silva,Solidaried,MG,Sim            ,160632,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Leo de Brito,PT        ,AC,Não            ,178825,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Victor Mendes,PV        ,MA,Sim            ,178888,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Edmar Arruda,PSC       ,PR,Sim            ,160578,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Manoel Junior,PMDB      ,PB,Não            ,141490,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Geraldo Resende,PMDB      ,MS,Sim            ,74374,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Herculano Passos,PSD       ,SP,Sim            ,178981,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Gilberto Nascimento,PSC       ,SP,Sim            ,74270,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Evandro Rogerio Roman,PSD       ,PR,Sim            ,178930,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Zé Geraldo,PT        ,PA,Obstrução      ,73931,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Luiz Carlos Ramos,PSDC      ,RJ,Sim            ,178802,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Marcos Reategui,PSC       ,AP,Não            ,178852,-,-
