id_dep,deputado,partido,uf,voto
160592,Zeca Dirceu,pt,PR,não
178889,Zé Carlos,pt,MA,não
73931,Zé Geraldo,pt,PA,não
178949,Zenaide Maia,pr,RN,não
160632,Zé Silva,solidaried,MG,sim
178957,Abel Mesquita Jr.,pdt,RR,sim
105112,Cabuçu Borges,pmdb,AP,sim
141439,Chico D Angelo,pt,RJ,não
178848,Conceição Sampaio,pp,AM,sim
178940,Dr. João,pr,RJ,sim
160643,Dr. Jorge Silva,pros,ES,sim
178830,Dr. Sinval Malheiros,pv,SP,sim
178904,,pp,MT,sim
160666,Félix Mendonça Júnior,pdt,BA,não
178959,Hiran Gonçalves,pmn,RR,sim
131966,José Fogaça,pmdb,RS,sim
178918,Kaio Maniçoba,phs,PE,sim
141483,Lindomar Garçon,pmdb,RO,sim
178858,Mário Negromonte Jr.,pp,BA,abstenção
74428,Mendonça Filho,dem,PE,sim
141516,Paulo Abi-Ackel,psdb,MG,sim
160601,Pr. Marco Feliciano,psc,SP,sim
160639,Professora Dorinha Seabra Rezende,dem,TO,sim
160651,Rogério Peninha Mendonça,pmdb,SC,sim
73424,Simão Sessim,pp,RJ,sim
160610,Valmir Assunção,pt,BA,não
178902,Zeca do PT,pt,MS,não
74471,André de Paula,psd,PE,sim
160528,Danilo Cabral,psb,PE,sim
5830733,Sebastião Oliveira,pr,PE,abstenção
5830295,Capitão Fábio Abreu,ptb,PI,não
5830460,Rejane Dias,pt,PI,não
160566,Nelson Padovani,psdb,PR,sim
193726,Paulo Martins,psdb,PR,sim
178967,João Paulo Kleinübing,psd,SC,sim
186775,Franklin Lima,pp,MG,sim
141441,George Hilton,pros,MG,não
5830318,Miguel Corrêa,pt,MG,não
74160,Patrus Ananias,pt,MG,não
74833,Arolde de Oliveira,psc,RJ,sim
178942,Marco Antônio Cabral,pmdb,RJ,sim
122158,Pedro Paulo,pmdb,RJ,sim
5830368,Arnaldo Jardim,pps,SP,sim
160653,Roberto de Lucena,pv,SP,sim
5830480,Rodrigo Garcia,dem,SP,sim
178830,Dr. Sinval Malheiros,ptn,SP,sim
141385,Duarte Nogueira,psdb,SP,sim
