"nome";"partido";"uf"
"Rogério Peninha Mendonça";"pmdb";"SC"
"Rogério Rosso";"psd";"DF"
"Rômulo Gouveia";"psd";"PB"
"Ronaldo Benedet";"pmdb";"SC"
"Ronaldo Carletto";"pp";"BA"
"Ronaldo Fonseca";"pros";"DF"
"Ronaldo Lessa";"pdt";"AL"
"Ronaldo Martins";"prb";"CE"
"Ronaldo Nogueira";"ptb";"RS"
"Roney Nemer";"pmdb";"DF"
"Rosangela Gomes";"prb";"RJ"
"Rossoni";"psdb";"PR"
"Rubens Bueno";"pps";"PR"
"Rubens Otoni";"pt";"GO"
"Rubens Pereira Júnior";"pcdob";"MA"
"Ságuas Moraes";"pt";"MT"
"Samuel Moreira";"psdb";"SP"
"Sandes Júnior";"pp";"GO"
"Sandro Alex";"pps";"PR"
"Saraiva Felipe";"pmdb";"MG"
"Sarney Filho";"pv";"MA"
"Sérgio Brito";"psd";"BA"
"Sérgio Moraes";"ptb";"RS"
"Sérgio Reis";"prb";"SP"
"Sergio Souza";"pmdb";"PR"
"Sergio Vidigal";"pdt";"ES"
"Sergio Zveiter";"psd";"RJ"
"Shéridan";"psdb";"RR"
"Sibá Machado";"pt";"AC"
"Silas Brasileiro";"pmdb";"MG"
"Silas Câmara";"psd";"AM"
"Silas Freire";"pr";"PI"
"Silvio Costa";"psc";"PE"
"Silvio Torres";"psdb";"SP"
"Simão Sessim";"pp";"RJ"
"Simone Morgado";"pmdb";"PA"
"Soraya Santos";"pmdb";"RJ"
"Sóstenes Cavalcante";"psd";"RJ"
"Stefano Aguiar";"psb";"MG"
"Subtenente Gonzaga";"pdt";"MG"
"Tadeu Alencar";"psb";"PE"
"Takayama";"psc";"PR"
"Tenente Lúcio";"psb";"MG"
"Tereza Cristina";"psb";"MS"
"Tia Eron";"prb";"BA"
"Tiririca";"pr";"SP"
"Toninho Pinheiro";"pp";"MG"
"Toninho Wandscheer";"pt";"PR"
"Uldurico Junior";"ptc";"BA"
"Valadares Filho";"psb";"SE"
"Valdir Colatto";"pmdb";"SC"
"Valmir Assunção";"pt";"BA"
"Valmir Prascidelli";"pt";"SP"
"Valtenir Pereira";"pros";"MT"
"Vander Loubet";"pt";"MS"
"Vanderlei Macris";"psdb";"SP"
"Veneziano Vital do Rêgo";"pmdb";"PB"
"Vicente Candido";"pt";"SP"
"Vicentinho";"pt";"SP"
"Vicentinho Júnior";"psb";"TO"
"Victor Mendes";"pv";"MA"
"Vinicius Carvalho";"prb";"SP"
"Vinicius Gurgel";"pr";"AP"
"Vitor Lippi";"psdb";"SP"
"Vitor Valim";"pmdb";"CE"
"Wadih Damous";"pt";"RJ"
"Wadson Ribeiro";"pcdob";"MG"
"Waldenor Pereira";"pt";"BA"
"Waldir Maranhão";"pp";"MA"
"Walney Rocha";"ptb";"RJ"
"Walter Alves";"pmdb";"RN"
"Walter Ihoshi";"psd";"SP"
"Washington Reis";"pmdb";"RJ"
"Weliton Prado";"pt";"MG"
"Wellington Roberto";"pr";"PB"
"Weverton Rocha";"pdt";"MA"
"William Woo";"pv";"SP"
"Wilson Filho";"ptb";"PB"
"Wolney Queiroz";"pdt";"PE"
"Zé Carlos";"pt";"MA"
"Zé Geraldo";"pt";"PA"
"Zé Silva";"solidaried";"MG"
"Zeca Cavalcanti";"ptb";"PE"
"Zeca Dirceu";"pt";"PR"
"Zeca do Pt";"pt";"MS"
"Zenaide Maia";"pr";"RN"
