id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
132056,Paulo Maluf,pp,SP,não votou,não votou,não votou,sim,sim,não votou,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,sim,não votou,não,não votou
141527,Renato Molling,pp,RS,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim,não,sim,sim,não,sim,sim,sim,sim
160654,Renzo Braz,pp,MG,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim,não votou,sim,sim,não votou,não,não votou
73788,Ricardo Barros,pp,PR,sim,não,não votou,sim,sim,sim,não votou,não,não,sim,sim,sim,não,sim,não votou,não votou,não votou,não votou,não votou
73674,Roberto Balestra,pp,GO,sim,não,sim,sim,sim,não votou,sim,sim,sim,não,sim,não votou,sim,sim,não,sim,sim,sim,sim
141529,Roberto Britto,pp,BA,sim,sim,não,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178861,Ronaldo Carletto,pp,BA,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
74372,Sandes Júnior,pp,GO,não votou,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim
73424,Simão Sessim,pp,RJ,sim,não votou,não votou,não votou,não votou,não votou,não votou,sim,sim,sim,não votou,sim,não votou,sim,não votou,sim,não votou,não votou,não votou
160611,Toninho Pinheiro,pp,MG,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
