id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
73692,Osmar Terra,pmdb,RS,-1,1,1,-1,-1,-1,1,-1,0,0,1,-1,1,-1,0,-1,1,-1,1,0,1,1,0
74812,Pedro Chaves,pmdb,GO,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,0
122158,Pedro Paulo,pmdb,RJ,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0
141532,Rocha Loures,pmdb,PR,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178897,Rodrigo Pacheco,pmdb,MG,1,-1,0,1,1,0,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-2
160651,Rogério Peninha Mendonça,pmdb,SC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
160515,Ronaldo Benedet,pmdb,SC,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0
74762,Saraiva Felipe,pmdb,MG,1,1,1,-1,1,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
178933,Sergio Souza,pmdb,PR,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,0
160612,Sergio Zveiter,pmdb,RJ,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,0,1,1,1
74765,Silas Brasileiro,pmdb,MG,1,1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1
178911,Simone Morgado,pmdb,PA,1,1,1,0,0,0,1,0,0,0,1,1,1,1,-1,0,1,1,1,0,1,0,0
178946,Soraya Santos,pmdb,RJ,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,0
74010,Valdir Colatto,pmdb,SC,1,0,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,1,0,1,1,0
141552,Valtenir Pereira,pmdb,MT,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,0,-1
178913,Veneziano Vital do Rêgo,pmdb,PB,0,1,1,1,1,1,-1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
178869,Vitor Valim,pmdb,CE,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,-1,1,-1,1,1,1,1,1
178952,Walter Alves,pmdb,RN,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
160620,Washington Reis,pmdb,RJ,1,-1,1,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1
193066,Wilson Beserra,pmdb,RJ,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
191945,Zé Augusto Nalin,pmdb,RJ,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0
178864,Adail Carneiro,pp,CE,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,-1
136811,Afonso Hamm,pp,RS,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1
160527,Aguinaldo Ribeiro,pp,PB,1,1,0,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,0
178831,André Abdon,pp,AP,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
178882,André Fufuca,pp,MA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,0
160541,Arthur Lira,pp,AL,1,-1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,0,-1,-1,1,0
178948,Beto Rosado,pp,RN,1,1,0,0,1,1,-1,1,1,1,-1,1,0,1,1,-1,1,1,1,0,1,1,0
178906,Beto Salame,pp,PA,-1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,-2,0
93083,Cacá Leão,pp,BA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-2,0
178848,Conceição Sampaio,pp,AM,0,1,1,1,1,0,-2,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1
