"id_dep","nome","uf","partido","clust"
74862,"Miro Teixeira","RJ","rede","2"
178895,"Misael Varella","MG","dem","2"
160561,"Missionário José Olimpio","SP","pp","2"
74457,"Moroni Torgan","CE","dem","2"
178997,"Moses Rodrigues","CE","pps","2"
160567,"Nelson Marchezan Junior","RS","psdb","2"
166401,"Nilson Leitão","MT","psdb","2"
74352,"Nilson Pinto","PA","psdb","2"
74752,"Odelmo Leão","MG","pp","2"
74399,"Onyx Lorenzoni","RS","dem","2"
180545,"Osmar Bertoldi","PR","dem","2"
141515,"Otavio Leite","RJ","psdb","2"
160642,"Pastor Eurico","PE","psb","2"
74095,"Pauderney Avelino","AM","dem","2"
141516,"Paulo Abi-Ackel","MG","psdb","2"
178860,"Paulo Azi","BA","dem","2"
160517,"Paulo Foletto","ES","psb","2"
141518,"Paulo Pereira da Silva","SP","solidaried","2"
178912,"Pedro Cunha Lima","PB","psdb","2"
178844,"Pedro Vilela","AL","psdb","2"
160601,"Pr. Marco Feliciano","SP","psc","2"
160639,"Professora Dorinha Seabra Rezende","TO","dem","2"
148134,"Professor Victório Galli","MT","psc","2"
74216,"Raimundo Gomes de Matos","CE","psdb","2"
178998,"Raquel Muniz","MG","psc","2"
74048,"Raul Jungmann","PE","pps","2"
160654,"Renzo Braz","MG","pp","2"
141472,"Ricardo Tripoli","SP","psdb","2"
73674,"Roberto Balestra","GO","pp","2"
73805,"Roberto Freire","SP","pps","2"
178840,"Rocha","AC","psdb","2"
141531,"Rodrigo de Castro","MG","psdb","2"
74693,"Rodrigo Maia","RJ","dem","2"
178926,"Rodrigo Martins","PI","psb","2"
141535,"Rogério Marinho","RN","psdb","2"
178935,"Rossoni","PR","psdb","2"
73466,"Rubens Bueno","PR","pps","2"
178990,"Samuel Moreira","SP","psdb","2"
160621,"Sandro Alex","PR","pps","2"
141542,"Sérgio Moraes","RS","ptb","2"
178961,"Shéridan","RR","psdb","2"
73560,"Silvio Torres","SP","psdb","2"
178947,"Sóstenes Cavalcante","RJ","psd","2"
92776,"Stefano Aguiar","MG","psb","2"
178922,"Tadeu Alencar","PE","psb","2"
178898,"Tenente Lúcio","MG","psb","2"
178901,"Tereza Cristina","MS","psb","2"
141384,"Valadares Filho","SE","psb","2"
74010,"Valdir Colatto","SC","pmdb","2"
141553,"Vanderlei Macris","SP","psdb","2"
178992,"Vitor Lippi","SP","psdb","2"
178869,"Vitor Valim","CE","pmdb","2"
160518,"Weliton Prado","MG","pmb","2"
141563,"William Woo","SP","pv","2"
160632,"Zé Silva","MG","solidaried","2"
