id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
160599;DimasFabiano;Dimas Fabiano;pp;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;SIM
143632;DomingosNeto;Domingos Neto;pros;CE;sim;não votou;sim;sim;não;não votou;sim;não;sim;sim;sim;sim;abstenção;sim;sim;não votou;não votou;sim;não votou;NAO
160758;DomingosSavio;Domingos Sávio;psdb;MG;sim;não votou;não;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;não;não votou;sim;não;sim;não;SIM
178994;DulceMiranda;Dulce Miranda;pmdb;TO;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
73447;EdinhoAraujo;Edinho Araújo;pmdb;SP;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
141417;EdioLopes;Edio Lopes;pmdb;RR;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;NAO
134812;EdmilsonRodrigues;Edmilson Rodrigues;psol;PA;não;não;não;não;não;obstção;obstção;não;não;não;não;sim;sim;não;não;sim;não;sim;não;NAO
74655;EduardoBarbosa;Eduardo Barbosa;psdb;MG;sim;sim;não;sim;não;não;sim;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;SIM
92346;EduardoBolsonaro;Eduardo Bolsonaro;psc;SP;não;sim;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;não;não;não;sim;abstenção;sim;sim;SIM
74173;EduardoCunha;Eduardo Cunha;pmdb;RJ;art. 17;art.7;3 t. 14 ar 17;art.7;6 t. 17;7 art. 17;art. 17;art. 17;;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;SIM
178977;EduardoCury;Eduardo Cury;psdb;SP;sim;não votou;não;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;não;não;não;sim;sim;não;SIM
141421;EduardodaFonte;Eduardo da Fonte;pp;PE;não votou;não votou;não votou;sim;sim;sim;não votou;não votou;sim;não votou;não votou;não votou;sim;sim;sim;não votou;não votou;não votou;não;SIM
141422;EfraimFilho;Efraim Filho;dem;PB;sim;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;não;não;não;sim;sim;sim;SIM
74075;ElcioneBarbalho;Elcione Barbalho;pmdb;PA;sim;sim;não votou;não votou;não;não;não;não;sim;sim;não votou;sim;sim;sim;sim;não votou;não votou;não votou;não votou;NAO
160532;EliCorreaFilho;Eli Corrêa Filho;dem;SP;não votou;não votou;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;sim;sim;não;não;não;sim;sim;não votou;SIM
181316;ElizeuDionizio;Elizeu Dionizio;psdb;MS;sim;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
181316;ElizeuDionizio;Elizeu Dionizio;solidaried;MS;não votou;sim;não;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
178883;ElizianeGama;Eliziane Gama;pps;MA;não votou;não;sim;sim;não;não;não;não;não;não;não;sim;sim;não;não;não;sim;sim;não;SIM
178883;ElizianeGama;Eliziane Gama;rede;MA;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
178854;ElmarNascimento;Elmar Nascimento;dem;BA;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não votou;sim;não;sim;sim;sim;SIM
132504;EnioVerri;Enio Verri;pt;PR;sim;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
160575;ErikaKokay;Erika Kokay;pt;DF;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;não votou;não votou;sim;não;sim;não;NAO
99654;EriveltonSantana;Erivelton Santana;psc;BA;não;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;sim;SIM
160640;ErosBiondini;Eros Biondini;ptb;MG;sim;não votou;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;não;não;sim;não;sim;sim;SIM
160649;EsperidiaoAmin;Esperidião Amin;pp;SC;não;não votou;não;sim;sim;sim;não;não;sim;sim;sim;sim;não;não;não;sim;não;sim;não;SIM
178871;EvairdeMelo;Evair de Melo;pv;ES;não;sim;não;sim;não;sim;não;sim;sim;não;sim;sim;sim;sim;não;sim;sim;sim;sim;SIM
178828;EvandroGussi;Evandro Gussi;pv;SP;sim;sim;não votou;não;não;não;sim;sim;sim;sim;não;sim;não votou;não;não;sim;não;sim;não;SIM
178930;EvandroRoman;Evandro Roman;psd;PR;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;não;SIM
178953;ExpeditoNetto;Expedito Netto;solidaried;RO;não;sim;sim;sim;não;sim;sim;sim;sim;não;sim;sim;não votou;não;não votou;sim;não;não votou;sim;SIM
